title,url,sqm,rooms,state,elevator,price
Piso en venta en calle de Lope de Vega,https://www.idealista.com/inmueble/91330377/,102.0,3.0,second_hand,True,385000.0
Piso en venta en calle de Pujades,https://www.idealista.com/inmueble/91244525/,83.0,3.0,second_hand,True,365000.0
Piso en venta en calle de Pere IV,https://www.idealista.com/inmueble/90956918/,192.0,5.0,second_hand,False,549000.0
Piso en venta en calle de Pallars,https://www.idealista.com/inmueble/90394361/,76.0,3.0,second_hand,True,340000.0
Piso en venta en calle de Lope de Vega,https://www.idealista.com/inmueble/90298435/,58.0,2.0,second_hand,True,245000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/87114708/,51.0,2.0,second_hand,True,229900.0
Piso en venta en calle del Joncar,https://www.idealista.com/inmueble/90643086/,112.0,3.0,second_hand,True,410000.0
Piso en venta en calle de Pere IV,https://www.idealista.com/inmueble/90623248/,85.0,4.0,need_renovation,True,335000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/90446022/,50.0,2.0,second_hand,True,255234.0
Dúplex en venta en calle del Taulat,https://www.idealista.com/inmueble/90404475/,120.0,3.0,second_hand,False,420000.0
Piso en venta en calle Lope De Vega,https://www.idealista.com/inmueble/86179848/,125.0,3.0,second_hand,True,565000.0
"Piso en venta en calle de Tortellà, Barcelona",https://www.idealista.com/inmueble/82602377/,49.0,2.0,second_hand,False,285000.0
Piso en venta en paseo de Calvell,https://www.idealista.com/inmueble/89422648/,68.0,3.0,second_hand,True,290000.0
"Chalet adosado en venta en Caminal, 13",https://www.idealista.com/inmueble/91230700/,39.0,2.0,second_hand,False,165000.0
Dúplex en venta en Passatge de Piquer,https://www.idealista.com/inmueble/90359840/,79.0,1.0,second_hand,True,520000.0
Piso en venta en calle d'Espronceda,https://www.idealista.com/inmueble/90805736/,54.0,1.0,second_hand,False,262000.0
Piso en venta en Passatge Ciutadans,https://www.idealista.com/inmueble/91023105/,61.0,3.0,need_renovation,True,239000.0
Piso en venta en avenida Diagonal,https://www.idealista.com/inmueble/89946279/,67.0,2.0,second_hand,True,217000.0
Piso en venta en calle de Pere IV,https://www.idealista.com/inmueble/89006738/,77.0,2.0,second_hand,False,434000.0
"Piso en venta en rambla del Poblenou, Barcelona",https://www.idealista.com/inmueble/84268307/,89.0,3.0,second_hand,True,395000.0
Piso en venta en calle Doctor Trueta,https://www.idealista.com/inmueble/91023191/,58.0,1.0,need_renovation,False,176000.0
Piso en venta en Bilbao,https://www.idealista.com/inmueble/90314607/,159.0,3.0,second_hand,True,640000.0
Ático en venta en rambla del Poblenou,https://www.idealista.com/inmueble/90130799/,194.0,4.0,second_hand,True,625000.0
Dúplex en venta en El Poblenou,https://www.idealista.com/inmueble/84742215/,150.0,3.0,second_hand,True,750000.0
Piso en venta en rambla del Poblenou,https://www.idealista.com/inmueble/91003769/,41.0,1.0,second_hand,False,197000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/90691709/,50.0,2.0,second_hand,False,255000.0
Piso en venta en calle de Llull,https://www.idealista.com/inmueble/35315120/,75.0,2.0,second_hand,False,350000.0
Piso en venta en bac de roda,https://www.idealista.com/inmueble/89854806/,114.0,4.0,second_hand,True,495000.0
Piso en venta en MARIA AGUILO,https://www.idealista.com/inmueble/91344056/,62.0,3.0,need_renovation,False,165000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91341523/,103.0,4.0,second_hand,True,540000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91299720/,91.0,3.0,second_hand,True,460000.0
Piso en venta en rambla del Poblenou,https://www.idealista.com/inmueble/91334709/,127.0,4.0,second_hand,True,399000.0
Piso en venta en calle de Pallars,https://www.idealista.com/inmueble/91344028/,80.0,4.0,second_hand,True,240000.0
Piso en venta en calle de Pujades,https://www.idealista.com/inmueble/91337421/,230.0,4.0,second_hand,True,520000.0
Piso en venta en calle de Roc Boronat,https://www.idealista.com/inmueble/91336901/,51.0,2.0,second_hand,True,190000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91339985/,54.0,1.0,second_hand,True,432000.0
Estudio en venta en calle de Pere IV,https://www.idealista.com/inmueble/91344013/,133.0,0.0,second_hand,False,225000.0
Piso en venta en avenida Diagonal,https://www.idealista.com/inmueble/91343974/,96.0,2.0,second_hand,True,340000.0
Piso en venta en avenida Diagonal,https://www.idealista.com/inmueble/91271126/,57.0,3.0,second_hand,True,250000.0
Piso en venta en rambla del Poblenou,https://www.idealista.com/inmueble/91337113/,170.0,4.0,second_hand,True,625000.0
Piso en venta en calle de Pujades,https://www.idealista.com/inmueble/91337052/,83.0,3.0,second_hand,True,365000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/87759871/,80.0,2.0,second_hand,False,435000.0
Chalet adosado en venta en calle de Pujades,https://www.idealista.com/inmueble/91277106/,40.0,2.0,second_hand,False,165000.0
Piso en venta en rambla del Poblenou,https://www.idealista.com/inmueble/91343944/,68.0,3.0,second_hand,True,210000.0
Piso en venta en calle de la Ciutat de Granada,https://www.idealista.com/inmueble/91343931/,185.0,3.0,second_hand,True,290000.0
Piso en venta en calle de Roc Boronat,https://www.idealista.com/inmueble/91343841/,64.0,2.0,second_hand,True,220000.0
Piso en venta en calle de Badajoz,https://www.idealista.com/inmueble/90985973/,143.0,3.0,second_hand,False,388000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91273309/,85.0,3.0,second_hand,False,350000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/89053351/,78.0,4.0,second_hand,True,390000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/88407561/,92.0,4.0,second_hand,True,365000.0
"Piso en venta en calle Espronceda, 41",https://www.idealista.com/inmueble/87303814/,0.0,96.0,new,True,580000.0
"Piso en venta en calle Espronceda, 41",https://www.idealista.com/inmueble/87303825/,0.0,96.0,new,True,565000.0
"Piso en venta en calle Espronceda, 41",https://www.idealista.com/inmueble/88569307/,0.0,96.0,new,True,555000.0
"Piso en venta en calle d'Espronceda, 41",https://www.idealista.com/inmueble/90417028/,97.0,3.0,second_hand,True,630000.0
"Piso en venta en calle del Perelló, 56",https://www.idealista.com/inmueble/89307725/,60.0,1.0,second_hand,True,399000.0
