title,url,sqm,rooms,state,elevator,price
Piso en venta en calle dels Caponata,https://www.idealista.com/inmueble/90740855/,103.0,4.0,second_hand,True,650000.0
Dúplex en venta en Sarrià,https://www.idealista.com/inmueble/87538432/,171.0,4.0,second_hand,True,675000.0
Chalet pareado en venta en calle Torrent de Can Caralleu,https://www.idealista.com/inmueble/90886981/,212.0,4.0,second_hand,False,660000.0
Piso en venta en Sarrià,https://www.idealista.com/inmueble/89810250/,126.0,3.0,second_hand,True,690000.0
Piso en venta en SAGRAT COR,https://www.idealista.com/inmueble/86478148/,150.0,5.0,second_hand,True,585000.0
Piso en venta en calle del Sagrat Cor,https://www.idealista.com/inmueble/86222686/,150.0,5.0,second_hand,True,585000.0
Piso en venta en calle del Sagrat Cor,https://www.idealista.com/inmueble/86146225/,150.0,5.0,second_hand,True,585000.0
Piso en venta en calle del Capità Arenas,https://www.idealista.com/inmueble/90549031/,128.0,4.0,need_renovation,True,585000.0
Piso en venta en Eduardo Conde,https://www.idealista.com/inmueble/89296563/,107.0,3.0,second_hand,True,690000.0
Piso en venta en calle de Negrevernís,https://www.idealista.com/inmueble/89073085/,117.0,3.0,second_hand,True,615000.0
"Piso en venta en Urb. Sarria, Sarrià",https://www.idealista.com/inmueble/88764769/,118.0,4.0,need_renovation,True,595000.0
Ático en venta en calle d' Euterpe,https://www.idealista.com/inmueble/89126573/,79.0,2.0,second_hand,True,660000.0
Piso en venta en calle del Sagrat Cor,https://www.idealista.com/inmueble/89145361/,150.0,5.0,second_hand,True,585000.0
Piso en venta en calle del Sagrat Cor,https://www.idealista.com/inmueble/87591718/,155.0,5.0,second_hand,True,585000.0
Piso en venta en calle d'Osi,https://www.idealista.com/inmueble/90531137/,126.0,4.0,second_hand,True,645000.0
Piso en venta en Monterols,https://www.idealista.com/inmueble/89661763/,135.0,3.0,need_renovation,True,750000.0
Piso en venta en Monterols,https://www.idealista.com/inmueble/89446181/,125.0,3.0,need_renovation,True,720000.0
Piso en venta en calle del Sagrat Cor,https://www.idealista.com/inmueble/87214957/,145.0,5.0,second_hand,True,585000.0
"Piso en venta en calle del Cardenal Vives i Tutó, 32",https://www.idealista.com/inmueble/83861575/,170.0,4.0,second_hand,True,645000.0
Dúplex en venta en OSI,https://www.idealista.com/inmueble/90747737/,126.0,4.0,second_hand,True,645000.0
Piso en venta en calle d'Osi,https://www.idealista.com/inmueble/90584259/,126.0,4.0,second_hand,True,645000.0
Piso en venta en calle d'Osi,https://www.idealista.com/inmueble/90536311/,126.0,4.0,second_hand,True,645000.0
Piso en venta en calle de Mañé i Flaquer,https://www.idealista.com/inmueble/89404555/,158.0,3.0,second_hand,False,725000.0
Piso en venta en calle d'Osi,https://www.idealista.com/inmueble/90564533/,126.0,4.0,second_hand,True,645000.0
Piso en venta en calle del Sagrat Cor,https://www.idealista.com/inmueble/86278575/,150.0,5.0,second_hand,True,585000.0
"Piso en venta en calle de Benet Mateu, 35",https://www.idealista.com/inmueble/90409771/,120.0,4.0,need_renovation,True,595000.0
Piso en venta en calle del Sagrat Cor,https://www.idealista.com/inmueble/88980638/,150.0,5.0,second_hand,True,585000.0
Piso en venta en calle del Sagrat Cor,https://www.idealista.com/inmueble/85226479/,150.0,5.0,second_hand,True,585000.0
Piso en venta en calle del Sagrat Cor,https://www.idealista.com/inmueble/88162201/,145.0,5.0,second_hand,True,585000.0
Piso en venta en calle del Sagrat Cor,https://www.idealista.com/inmueble/88470924/,150.0,5.0,second_hand,True,585000.0
Piso en venta en calle del Sagrat Cor,https://www.idealista.com/inmueble/86151633/,150.0,5.0,second_hand,True,585000.0
Piso en venta en calle del Sagrat Cor,https://www.idealista.com/inmueble/90701311/,140.0,4.0,need_renovation,True,725000.0
Piso en venta en Sarrià,https://www.idealista.com/inmueble/85936431/,172.0,4.0,second_hand,True,712000.0
Piso en venta en calle del Sagrat Cor,https://www.idealista.com/inmueble/88629774/,150.0,5.0,need_renovation,True,585000.0
Piso en venta en calle del Sagrat Cor,https://www.idealista.com/inmueble/88277189/,125.0,5.0,second_hand,False,585000.0
Piso en venta en calle del Trinquet,https://www.idealista.com/inmueble/88772422/,132.0,4.0,second_hand,True,650000.0
Ático en venta en Sarrià,https://www.idealista.com/inmueble/89883000/,113.0,2.0,second_hand,True,645000.0
